STT,Test ID,Tên đề,Slug,Thể loại,Thời gian (phút),Số người thi,Đánh giá,Số phần,Số câu,Số bình luận,URL
1,4752,[GT TASK 1] IELTS GT Writing Sample Pack 1 - Formal Letters,gt-task-1-ielts-gt-writing-sample-pack-1-formal-letters,,60,12072,38,22,22,38,https://study4.com/tests/4752/gt-task-1-ielts-gt-writing-sample-pack-1-formal-letters/
2,4751,[GT TASK 1] IELTS GT Writing Sample Pack 1 - Informal Letters,gt-task-1-ielts-gt-writing-sample-pack-1-informal-letters,,60,4122,9,13,13,9,https://study4.com/tests/4751/gt-task-1-ielts-gt-writing-sample-pack-1-informal-letters/
3,4691,IELTS General Sample reading test 1,ielts-general-sample-reading-test-1,,60,63633,66,3,40,66,https://study4.com/tests/4691/ielts-general-sample-reading-test-1/
4,4690,IELTS General Sample reading test 2,ielts-general-sample-reading-test-2,,60,19167,33,3,40,33,https://study4.com/tests/4690/ielts-general-sample-reading-test-2/
5,4689,IELTS General Sample reading test 3,ielts-general-sample-reading-test-3,,60,11079,10,3,40,10,https://study4.com/tests/4689/ielts-general-sample-reading-test-3/
6,4688,IELTS General Sample reading test 4,ielts-general-sample-reading-test-4,,60,7023,6,3,40,6,https://study4.com/tests/4688/ielts-general-sample-reading-test-4/
7,4687,IELTS General Sample reading test 5,ielts-general-sample-reading-test-5,,60,7566,11,3,40,11,https://study4.com/tests/4687/ielts-general-sample-reading-test-5/
8,4686,IELTS General Sample reading test 6,ielts-general-sample-reading-test-6,,60,5112,12,3,40,12,https://study4.com/tests/4686/ielts-general-sample-reading-test-6/
9,4685,IELTS General Sample reading test 7,ielts-general-sample-reading-test-7,,60,5055,14,3,40,14,https://study4.com/tests/4685/ielts-general-sample-reading-test-7/
10,4684,IELTS General Sample reading test 8,ielts-general-sample-reading-test-8,,60,4044,8,3,40,8,https://study4.com/tests/4684/ielts-general-sample-reading-test-8/
11,4683,IELTS General Sample reading test 9,ielts-general-sample-reading-test-9-2,,60,3615,11,3,40,11,https://study4.com/tests/4683/ielts-general-sample-reading-test-9-2/
12,4682,IELTS General Sample reading test 10,ielts-general-sample-reading-test-10-2,,60,3969,4,3,40,4,https://study4.com/tests/4682/ielts-general-sample-reading-test-10-2/
13,4681,IELTS General Sample reading test 11,ielts-general-sample-reading-test-11-2,,60,3171,9,3,40,9,https://study4.com/tests/4681/ielts-general-sample-reading-test-11-2/
14,4680,IELTS General Sample reading test 12,ielts-general-sample-reading-test-12-2,,60,3414,4,3,40,4,https://study4.com/tests/4680/ielts-general-sample-reading-test-12-2/
15,4679,IELTS General Sample reading test 13,ielts-general-sample-reading-test-13-2,,60,3591,17,3,40,17,https://study4.com/tests/4679/ielts-general-sample-reading-test-13-2/
16,4678,IELTS General Sample reading test 14,ielts-general-sample-reading-test-14-2,,60,3117,11,3,40,11,https://study4.com/tests/4678/ielts-general-sample-reading-test-14-2/
17,4677,IELTS General Sample reading test 15,ielts-general-sample-reading-test-15-2,,60,4245,10,3,40,10,https://study4.com/tests/4677/ielts-general-sample-reading-test-15-2/
18,4676,IELTS General Sample reading test 16,ielts-general-sample-reading-test-16-2,,60,6939,12,3,40,12,https://study4.com/tests/4676/ielts-general-sample-reading-test-16-2/
